causas-civil	35	EN DESPACHO - PARA NOTIFICAR POR SECRETARíA/DEO
causas-civil	35	EN DESPACHO - REVISANDO PARA CAMARA
causas-civil	35	MANDAM. BAJO RESPONSABILIDAD DE LA ACTORA
causas-civil	35	PARA NOTIFICAR POR SECRETARIA
causas-civil	35	RECHAZO ANTICIPO DE GASTOS
causas-civil	35	RESOL. QUE PONE FIN AL LITIGIO: DESISTIMIENTO DEL DERECHO O DEL PROCESO - DESISTIMIENTO DE LA ACCION
causas-civil	34	EN DESPACHO - BOLETIN OFICIAL
causas-civil	34	EN DESPACHO - ESTA PARA HACER CéDULAS
causas-civil	34	INCOMPETENCIA POR DOMICILIO
causas-civil	34	INSCRIPCION DE TESTAMENTO
causas-civil	33	CERTIFICACION CONEXO
causas-civil	33	DETALLE: PARALIZADO
causas-civil	33	DETALLE: RESOL. QUE PONE FIN AL LITIGIO: DECLARATORIA DE HEREDEROS
causas-civil	33	EN DESPACHO - A REVISAR PARA AUDIENCIA
causas-civil	33	MEDIACION
causas-civil	32	CADUCIDAD
causas-civil	32	CONFRONTE OFICIO
causas-civil	32	EN DESPACHO - PARA CAMARA
causas-civil	32	TRAMITE PREVIO A SENTENCIA
causas-civil	31	EN DESPACHO - CONFRONTE
causas-civil	31	EN DESPACHO - CONTESTACION
causas-civil	31	FINALIZACION ETAPA - SENTENCIA INTERLOCUTORIA
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023116
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023117
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023124
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023128
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023129
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023132
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023140
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023141
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023145
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202321
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202324
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202329
causas-civil	30	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202347
causas-civil	30	CONCLUSION POR REMISION A OTRO FUERO O JURISDICCION
causas-civil	30	EN DESPACHO - CAMARA
causas-civil	30	HONORARIOS REGULADOS
causas-civil	30	PRUEBA     ANTICIPADA
causas-civil	30	SUBASTA
causas-civil	29	AUDIENCIA PRELIMINAR - CONCILIADA
causas-civil	29	SENTENCIA DE TRANCE Y REMATE - SENTENCIA DE TRANCE Y REMATE
causas-civil	29	VISTA ASESOR DE MENORES
causas-civil	28	EN DESPACHO - CERTIFICAR FOTOCOPIAS
causas-civil	27	BENEFICIO CONCEDIDO
causas-civil	27	DETALLE: ARCHIVESE
causas-civil	27	EN DESPACHO - FISCO
causas-civil	26	EN DESPACHO - NOT POR SEC
causas-civil	26	EN LETRA - CONTRATAPA / CUERPO NUEVO
causas-civil	26	EN LETRA - MANDAMIENTO  A LA FIRMA
causas-civil	26	SIN DEFINIR - VISTA FISCAL
causas-civil	25	APELACION  DENEGACION
causas-civil	25	DESPACHO INICIAL EJEC. HIPOT.
causas-civil	25	EN LETRA - OFICO FIRMADO
causas-civil	25	MEDIDAS CAUTELARES
causas-civil	24	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 372202548
causas-civil	24	DETALLE: APERTURA RECURSO - RELACION
causas-civil	24	EN DESPACHO - EDICTOS
causas-civil	24	EN DESPACHO - MERO TRáMITE.
causas-civil	24	EN DESPACHO - VIST
causas-civil	24	EN LETRA - CERTIFICACION DE COPIAS  A LA FIRMA
causas-civil	24	EN LETRA - PASE
causas-civil	24	OFICIO POR SECRETARIA
causas-civil	23	CADUCIDAD DE INSTANCIA    TRASLADO
causas-civil	23	EN DESPACHO - PARA EDICTO
causas-civil	23	EN DESPACHO - REVISAR
causas-civil	23	EN LETRA - ENVIO DE DEO/ SYNTIS/MAIL U OFCICIOS POR SECRETARIA REALIZADOS/ NOTIFICACIONES ELECTRONIC
causas-civil	23	PRUEBA SOBRE HECHOS CONDUCENTES, ALEGADOS Y CONTROVERTIDOS - AUTO DE APERTURA A PRUEBA - NEGLIGENCIA
causas-civil	22	REITERACION DE MANDAMIENTO
causas-civil	21	EN DESPACHO - 0830
causas-civil	21	INICIO TRAMITE
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023115
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023118
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023119
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023133
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023137
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023148
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202322
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202325
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202330
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202334
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202337
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202338
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202339
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 14420234
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202341
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202342
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202345
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202348
causas-civil	20	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 14420235
causas-civil	20	EJECUCION FISCAL
causas-civil	20	SIN DEFINIR - ACREDITA DILIGENCIAMIENTO
causas-comercial	86222	INICIO / DEMANDA
causas-comercial	12665	ARCHIVESE
causas-comercial	11381	RESOLUCION DE CAMARA
causas-comercial	9920	SIN DEFINIR
causas-comercial	6918	EN LETRA
causas-comercial	4588	DEVOLUCION - CIERRE DE RECURSO
causas-comercial	3902	EN DESPACHO
causas-comercial	2178	APERTURA RECURSO: HONORARIOS
causas-comercial	1933	TRABA DE LITIS: CONTESTACION DE DEMANDA
causas-comercial	1517	LLAMAMIENTO DE AUTOS A SENTENCIA - ART 483 CPCCN
causas-comercial	1450	SENTENCIA
